,description,eye_color,hair_color,sex
283,"A woman with a wide face, short neck length hair, sunken cheeks and small lips in red lipstick.",,,
284,"A grinning white woman with medium length brown hair, brown eyes, red lips and a chiseled jawline",,,
285,"A young woman with blonde hair, dark eyes, a small nose and thin lips",,,
286,"A woman with smooth skin, long straight brown hair and a tanned complexion. She has thin arched eyebrows, brown mono-lid eyes, a small nose, full cheeks and a smile on her face.",,,
287,"A woman with a square-shaped face, a radiant complexion, thin lips and sparkly dark eyes. She has blonde hair with black roots and she is wearing lipstick and blusher.",,,
288,"A middle-aged white man with large light-green eyes, a droopy nose, short black hair and and a large mouth. He is clean-shaven.",,,
289,"A man with thick black eyebrows, a large nose, a tanned complexion and a well-trimmed black stubble. He has styled black hair and has a chiselled jawline.",,,
290,"A young man with full, smiling lips and a wide nose. He has straight black hair with a fringe and a 5 o'clock shadow.",,,
291,"A smiling white man with short black hair, brown eyes",,,
292,"A man with pale face, thick eyebrows, a receding hairline and a trimmed beard. He also has a trimmed moustache and jet-black hair.",,,
293,A middle-aged woman with bob brown hair parted in the middle and a curtain fringe. Her eyes are light-coloured and there is black make-up around them. Her lips are thin,,,
294,"A grinning aging white woman with medium length brown hair, brown eyes and glossy pink lips",,,
295,"An Asian woman with a porcelain complexion, radiant skin, an oval-shaped face and straight jet-black hair. She has thin black eyebrows, a slim long nose, high cheek-bones, a small mouth, full lips and a well-defined jawline.",,,
296,This woman with long black wet hair is looking down so her eyes cannot be seen. Her eyebrows are thin and arched and her nose is long and pointed and she has thick lips,,,
297,"this older man is wearing a brown hat and his is closing his eyes, his nose is medium-sized and he has thin lips, he is wearing a blue suit.",,,
298,"A black man with medium-length, coiled, black hair, a plump face, full lips, a pair of glasses, and a trimmed moustache and chin beard.",,,
299,A young chubby dark-skinned man with a purple cap worn backwards. His eyes are small and dark and he is wearing a pair of glasses His lips are thick and a beard is growing around them. He has got medium-length dark hair,,,
300,"A confused looking black man with black dreadlocks, brown eyes and thick lips",,,
301,A young woman with medium-length brown hair and small blue eyes. Her nose is small and her lips are thin. She is smiling and her upper teeth are visible. She is wearing natural-looking make-up,,,
302,"A young woman with ginger hair, blue eyes, a small nose and thin lips",,,
303,"A man with a square-shaped face, a small mouth, a small flat nose and small black eyes. He has short black hair and is clean-shaven.",,,
304,a tanned white old man,,,
305,"An Asian woman with a tanned complexion, glossy dark brown hair and a large face. She has thin arched eyebrows, dark brown mono-lid eyes, a straight nose, plump cheeks, full glossy lips and a broad smile.",,,
306,"A plump man with short, curly, brown hair, thin lips, a round face and glasses.",,,
307,A middle-aged man with short dark hair and small dark eyes. He is wearing a pair of glasses with a thin metal frame. His nose is small and his lips are thin. Hints of a stubble can be seen on his face.,,,
308,"A white man with short brown hair, transparent rectangular glasses and thin lips",,,
309,"A woman with a bronze complexion, voluminous long chestnut hair, a dainty face and radiant skin. She has thin arched eyebrows, green smokey eyes, a slim straight nose, high cheek-bones, a small mouth, full lips and a chiselled jawline.",,,
310,"A black man with shaved hair, thin eyebrows, a wide nose, a pencil moustache and a round face. He has full lips and he is frowning slightly.",,,
311,A young dark-skinned man wearing a red sports band. His hair is short and his eyes are small and dark. His nose is wide and his lips are thick. A thin beard is growing around his lips.,,,
312,"A serious looking black man with very short black hair, brown eyes, wide nose, black short mustache  and a black tuft",,,
313,"A woman with long, straight, blond hair, a small nose, full cheeks, dark eyebrows and a wide, toothy smile.",,,
314,A young blonde girl. She is smiling. Her lips are thin and her mouth is open. Her upper teeth are visible,,,
315,"A woman with blonde hair, dark eyes, a small nose and thin lips",,,
316,"A woman with an elongated face, a long nose, a big mouth with thin lips and slit-eyes. She has thin black eyebrows and curly blonde hair with black roots. She is wearing makeup and appears to be talking.",,,
317,"A fair woman with an oval-shaped face and long golden hair. She has thin eyebrows, deep-set green eyes, a slim long nose, plump cheeks, full lips and a well-defined jawline. She is wearing large hoop earrings.",,,
318,"this woman has long blonde hair, curved brows and green eyes. her nose is pointed and her lips are full. she is wearing hoop earrings",,,
319,"A man with short, brown hair kept back by a pink headband. He has thick eyebrows, a long, narrow nose and thin lips.",,,
320,A stressed and tired man wearing a pink headband,,,
321,"A white woman with dark brown long hair, thin eyebrows, light brown eyes, a petite nose and plump lips.",,,
322,"A woman with a fair complexion, straight blonde bob-cut hair, dark brown roots and a side fringe. She has a large forehead, brown arched eyebrows, sparkly almond-shaped eyes, a long nose, plump cheeks, a thin upper lip and a radiant smile.",,,
323,"A black woman with short, straight, black hair and a wide smile with dimples. She has sculpted eyebrows, full cheeks and is wearing makeup.",,,
324,A young girl with darker skin and dark-coloured hair pulled back. She has also got a fringe on both sides of her forehead. Her eyes are dark-coloured and there is some make-up around them. Her upper teeth are visible and she is smiling. She has got a heavy lower lip,,,
325,"A smiling black woman with pulled back black hair, brown eyes and a wide smile",,,
326,"this man with a darker complexion has his hair tied to the back, his eyebrows are small and his eyes are big, his nose is big and his lips are big",,,
327,"A person with a small nose, a large mouth, thin lips, long, curly, black hair and hollow cheeks. The person is wearing large sunglasses.",,,
328,"A dark-skinned man with short, dark-brown hair, narrow eyes, a square face, full lips and a 5 o'clock shadow.",,,
329,A young man with short dark hair and small dark eyes. His lips are round and a stubble beard is growing around them,,,
330,"A serious looking brown Asian man with short brown hair, brown eyes and a light stubble",,,
331,"A woman with wavy amber hair, a square-shaped face and smooth skin. She has a large forehead, thin eyebrows, brown hooded eyes, a button nose, plump cheeks and thick red lips. She is smiling and wearing make-up.",,,
332,"A woman with an oblong face, a porcelain complexion and short light blonde hair. She has thin eyebrows, a straight nose, puffy cheeks and full lips. She is wearing a mustard beanie.",,,
333,"A man with a square-shaped face, thin lips, a long nose and short fair hair. He has a large chin and is smiling.",,,
334,A middle-aged woman with light brown hair and dark brown roots. Her eyes are blue and there is some make-up around them. Her lips are thin and her upper teeth are visible. She is smiling,,,
335,an older white tanned woman with dirty blonde hair and blue eyes,,,
336,"A smiling old woman with medium-length, wavy, whitish hair, thin eyebrows and a square face with full, rosy cheeks.",,,
337,"A smiling old woman with short light brown hair, brown eyes and rosy cheeks",,,
338,"A woman with black hair, a fringe, thin eyebrows, black eyes, a big nose and plump lips.",,,
339,"A pale man with a large nose, thin lips, small eyes and a large forehead. He has wrinkles around his eyes and his smiling.",,,
340,"A man with thin lips, a long face, high cheekbones and bushy eyebrows. He has curly, short, brown hair.",,,
341,"A profile of a blonde woman with a long nose, a small mouth, a rounded face and a glowing complexion. She has large eyes and is staring at something.",,,
342,"A man with a fair complexion, wispy chestnut hair, a rectangular face and a clean-shaven stubble and moustache. He has a large forehead, a big nose and a thin upper lip. He is wearing large sunglasses.",,,
343,"A woman with light brown hair, thin eyebrows, hazel-coloured eyes, a small nose and plump lips.",,,
344,"A woman with an oval-shaped face, a fair complexion and long chestnut hair. She has a large forehead, neatly-shaped eyebrows, green slit eyes, a button nose, plump cheeks, pristine teeth and a well-defined jawline.",,,
